,Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18,liwc_posemo,liwc_prep,liwc_male,liwc_affiliation,liwc_adverb,liwc_conj,liwc_we,liwc_percept,liwc_cause,liwc_function,liwc_money,liwc_motion,liwc_social,liwc_anger,liwc_ingest,liwc_compare,liwc_friend,liwc_auxverb,liwc_discrep,liwc_bio,liwc_home,liwc_shehe,liwc_power,liwc_leisure,liwc_affect,liwc_family,liwc_work,liwc_feel,liwc_verb,liwc_assent,liwc_nonflu,liwc_focuspresent,liwc_reward,liwc_they,liwc_anx,liwc_negemo,liwc_interrog,liwc_focuspast,liwc_you,liwc_article,liwc_sad,liwc_cogproc,liwc_relativ,liwc_hear,liwc_space,liwc_body,liwc_relig,liwc_death,liwc_netspeak,liwc_adj,liwc_health,liwc_insight,liwc_achiev,liwc_tentat,liwc_risk,liwc_quant,liwc_ipron,liwc_differ,liwc_swear,liwc_focusfuture,liwc_filler,liwc_pronoun,liwc_negate,liwc_certain,liwc_informal,liwc_see,liwc_female,liwc_ppron,liwc_i,liwc_drives,liwc_sexual,liwc_time,liwc_number,wc,nrc_negative,nrc_trust,nrc_fear,nrc_anticipation,nrc_surprise,nrc_disgust,nrc_positive,nrc_sadness,nrc_anger,nrc_joy
1713,1183934373671735296,Let me clear up the confusion. I do not believe there was any consideration for the consequences and ramifications of the tweet.  I’m not discussing the substance.  Others can talk About that.,LeBron James,KingJames,2019-10-15T02:35:25.000Z,Tue Oct 15 02:35:25 +0000 2019,31061,3952,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,,0,4,0,1,2,1,0,1,1,21,0,0,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1,0,4,0,9,1,0,1,0,0,0,0,1,0,2,0,2,1,1,2,3,0,0,0,5,2,1,0,1,0,3,3,3,0,0,0,32,1,0,1,0,0,0,2,0,1,0
1714,1183882498708606976,"RT @uninterrupted : ""Stay humble, be who you are, and be respectful no matter what."" 💯💯

@JaMorant breaks down why FAMILY is the word that defines him heading into his first year in the @NBA. #MoreThanAnAthlete 

@Sharpie | #MoreThanASignature #ad https://t.co/znW62puMyB",LeBron James,KingJames,2019-10-14T23:09:17.000Z,Mon Oct 14 23:09:17 +0000 2019,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,3,3,video,https://video.twimg.com/amplify_video/1183870696750903296/vid/1280x720/u5VtW2uFkBPXsItk.mp4?tag=13,,,,1,3,2,1,1,1,0,1,1,18,0,2,6,0,0,0,0,4,0,0,1,2,3,1,1,1,0,1,7,1,0,6,0,0,0,0,3,0,1,2,0,2,7,0,4,0,0,0,1,1,0,1,1,0,0,0,3,0,0,1,0,6,1,0,1,0,0,3,0,5,0,2,1,41,1,2,0,0,0,1,3,1,0,0
1715,1183873487024181248,Hopefully I can make the next one!! Heard it was DOPE!! 🙏🏾👑 https://t.co/PDoXEkpeYa,LeBron James,KingJames,2019-10-14T22:33:29.000Z,Mon Oct 14 22:33:29 +0000 2019,2880,209,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/ShoePalace/status/1183820278234636293 ,0,0,,,,,,1,0,0,0,1,0,0,1,1,6,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,2,0,1,0,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,1,1,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0
1716,1183873068487233537,Gotta make sure my kids walk and learn in style! 🙏🏾💪🏾👑 https://t.co/0GEsiEBpAJ,LeBron James,KingJames,2019-10-14T22:31:49.000Z,Mon Oct 14 22:31:49 +0000 2019,51086,6547,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/SoleCollector/status/1183868017178038272 ,0,0,,,,,,1,1,0,0,0,1,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0
1717,1183871837526052864,TOUGH!! 😤 #MoreThanAnDJ 17’s Go! https://t.co/ZDmb1xB6W2,LeBron James,KingJames,2019-10-14T22:26:55.000Z,Mon Oct 14 22:26:55 +0000 2019,6167,441,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/djmeel/status/1183838382784311296 ,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
1718,1183836506093322240,RT @ComplexSneakers : .@KingJames’ special call-outs on his customized @uninterrupted x Nike Air Force 1s 👑 https://t.co/iH9UMMJtC8,LeBron James,KingJames,2019-10-14T20:06:32.000Z,Mon Oct 14 20:06:32 +0000 2019,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,2,video,https://video.twimg.com/amplify_video/1183617915054104576/vid/720x1280/XcAGzPp8g93pYNCf.mp4?tag=13,,,,1,1,1,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,17,0,0,0,0,0,0,1,0,0,1
1719,1183836268385292289,RT @LJFamFoundation : Over 800 pairs of @nikebasketball LeBron 16’s in 10 different colorways for his kids to choose from - motivating them to keep pushing. 🤯👟 #WeAreFamily #EarnedNotGiven https://t.co/vACk2fAPiT,LeBron James,KingJames,2019-10-14T20:05:35.000Z,Mon Oct 14 20:05:35 +0000 2019,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,1,photo,https://pbs.twimg.com/media/EG2r5g2WwAIfK6c.jpg,https://pbs.twimg.com/media/EG2r5mAXkAEsB5E.jpg,https://pbs.twimg.com/media/EG2r5rOWkAEZbSR.jpg,https://pbs.twimg.com/media/EG2r5u_WwAIrizj.jpg,0,7,1,0,0,0,0,1,1,9,0,1,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,3,3,0,2,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,0,2,0,0,1,1,0,2,0,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0
1720,1183836258155429888,RT @LJFamFoundation : When @kingjames’ middle &amp; high school #IPROMISE students showed up to their schools this morning… they had some RIDICULOUSLY 🔥🔥 new kicks on as a reward for their hard work. https://t.co/zClt4klpFF,LeBron James,KingJames,2019-10-14T20:05:33.000Z,Mon Oct 14 20:05:33 +0000 2019,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,1,photo,https://pbs.twimg.com/media/EG2r4jeWoAEsfmG.jpg,https://pbs.twimg.com/media/EG2r4jeWkAAVrn6.jpg,https://pbs.twimg.com/media/EG2r4jeWsAMP6W0.jpg,https://pbs.twimg.com/media/EG2r4jfWwAAZ2Ii.jpg,1,5,0,0,1,2,0,2,0,12,0,0,4,1,0,2,0,1,0,0,0,0,3,0,2,0,4,1,2,1,0,1,1,3,0,1,1,2,0,1,0,1,7,0,4,0,0,0,1,5,0,0,2,1,0,1,1,0,0,0,0,4,0,0,1,1,0,3,0,5,0,3,0,34,0,2,0,1,1,0,1,0,0,1
1721,1182650078042951683,@De11eDonne Congrats my friend!! As well as your squad. 🏆 Nights are the best! 🙏🏾💪🏾👑,LeBron James,KingJames,2019-10-11T13:32:05.000Z,Fri Oct 11 13:32:05 +0000 2019,3226,345,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,,2,2,0,2,1,2,0,0,0,7,0,0,3,0,0,3,2,1,0,0,0,0,1,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,3,0,1,0,15,0,1,0,0,0,0,1,0,0,1
1722,1182430126656643073,"RT @IPROMISESchool : ...strategies, daily promise circles to check in, and teachers who provide constant love and support. Mental health matters, and family doesn’t let family walk alone. ❤️

#WorldMentalHealthDay #WeAreFamily https://t.co/hldhPO4ROw",LeBron James,KingJames,2019-10-10T22:58:05.000Z,Thu Oct 10 22:58:05 +0000 2019,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,0,photo,https://pbs.twimg.com/media/EGjTixnX0AAFc4m.jpg,https://pbs.twimg.com/media/EGjTiyOWsAY7eGj.jpg,https://pbs.twimg.com/media/EGjTiziW4AcjSEj.jpg,https://pbs.twimg.com/media/EGjTizpXUAAMTAw.jpg,3,2,0,3,0,3,0,0,0,7,0,1,6,0,0,0,0,1,0,2,2,0,1,2,4,2,1,0,3,1,0,3,0,0,0,1,1,0,0,0,1,1,4,0,1,0,0,0,1,3,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,5,0,2,0,32,0,3,0,1,0,0,4,0,0,2
1723,1182430116690976770,"RT @IPROMISESchool : For many of our kids at IPS, life is a rollercoaster. It’s important that they know, whether high or low, whatever they’re feeling is perfectly ok. That’s why IPS works day in and day out to provide our family members with on-site mental health supports, coping mechanisms and... https://t.co/J15HLdfiY8",LeBron James,KingJames,2019-10-10T22:58:02.000Z,Thu Oct 10 22:58:02 +0000 2019,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/EGjTh9cXUAA9DOI.jpg,https://pbs.twimg.com/media/EGjTh9YXkAAZO2v.jpg,https://pbs.twimg.com/media/EGjTh9EXYAABE_4.jpg,https://pbs.twimg.com/media/EGjTh9aX4AE0lbh.jpg,4,8,0,4,1,4,2,1,1,24,0,0,9,0,0,0,0,2,0,2,1,0,3,2,5,1,1,1,5,2,0,6,1,2,0,1,3,0,0,1,1,6,9,0,7,0,0,0,1,2,2,2,2,1,0,1,4,2,0,0,0,8,0,1,2,0,0,4,0,9,0,2,0,52,1,3,1,1,1,1,3,1,1,1
1724,1182037878903320586,RT @LJFamFoundation : Champions who remove road blocks and work alongside us to give our kids from Akron the tools they need to be successful. We are thankful for those on this journey with us. 🙏 #WeAreFamily,LeBron James,KingJames,2019-10-09T20:59:26.000Z,Wed Oct 09 20:59:26 +0000 2019,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,,,,,,3,6,0,4,0,1,4,0,0,18,0,2,9,0,0,0,0,2,1,0,0,0,1,0,3,0,3,0,4,1,0,5,1,1,0,0,1,0,0,1,0,1,4,0,2,0,0,0,1,2,0,0,3,0,0,0,3,0,0,0,0,8,0,0,1,0,0,5,0,7,0,0,0,37,1,1,2,2,0,0,3,1,1,3
1725,1182037848301752325,"RT @LJFamFoundation : From school to home and everything in between, our kids have a lot on their plates. @Walmart 🔆 &amp; many others are the life blood of the support we’re able to provide. We don’t consider them partners… they are our CHAMPIONS. https://t.co/8Wq5ItKjPN",LeBron James,KingJames,2019-10-09T20:59:18.000Z,Wed Oct 09 20:59:18 +0000 2019,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,video,https://video.twimg.com/ext_tw_video/1182028189515862017/pu/vid/320x400/tslrqEYOXBlQUfSP.mp4?tag=10,,,,2,7,0,5,0,1,4,0,0,23,0,0,12,0,0,0,1,3,0,2,1,0,1,0,2,0,2,0,5,1,0,6,0,3,0,0,0,0,0,3,0,4,2,0,2,1,0,0,1,0,1,1,2,1,0,2,2,1,0,0,0,9,0,1,1,0,0,7,0,7,0,0,0,45,0,3,0,0,0,0,2,0,0,0
1726,1181011168241938432,Simone you are flat out INCREDIBLE!!! ❤️ @Simone_Biles https://t.co/iIXzLL5F3C,LeBron James,KingJames,2019-10-07T00:59:39.000Z,Mon Oct 07 00:59:39 +0000 2019,77886,7967,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/TeamUSA/status/1180614998650785793 ,0,1,,,,,,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
